ITL1 Region,LA code,LA name,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
West Midlands,E06000051,Shropshire,277374,279294,281479,283254,284901,286913,288810,291523,294531,297633,300473,302069,304523,307108,307921,308181,309436,310751,312836,315232,317112,319729,321054,324669,327178
West Midlands,E06000021,Stoke-on-Trent,245298,244130,241989,240422,239955,240031,241078,241481,243069,243697,245509,245869,247381,248719,250322,251568,253316,254095,256168,258235,258843,259181,258866,258102,259965
West Midlands,E07000192,Cannock Chase,91266,91624,91835,92165,93000,93751,94179,94772,94991,95391,95999,96514,96898,97582,97537,97578,97703,97502,97312,97693,98553,98983,99565,100595,101140
West Midlands,E07000193,East Staffordshire,102482,102068,102828,103938,104487,106065,106800,107609,108466,109776,111191,112033,112979,113858,114853,115724,116812,117657,118986,119782,120861,122052,123096,124486,125760
West Midlands,E07000194,Lichfield,93537,93490,93272,93229,93679,94467,95580,96307,97432,98528,99490,100012,100424,100911,101286,101808,101910,102430,102624,102975,103163,104179,105008,106883,108352
West Midlands,E07000195,Newcastle-under-Lyme,121760,122203,122189,122015,122165,122657,123076,123170,123191,123526,123213,123073,123351,123878,123132,123872,124162,123919,125367,125303,125755,125075,124567,123039,125297
West Midlands,E07000196,South Staffordshire,104702,105183,105405,105942,106013,106300,106300,106428,106655,107144,107501,107561,108050,108318,108331,109840,109886,109704,109814,110302,110338,110478,110243,110787,111527
West Midlands,E07000197,Stafford,122711,121621,120884,120712,121409,122447,123224,124361,125620,127055,128320,129041,130001,130895,131324,131485,131312,131221,132507,133199,134069,135286,135685,137201,138670
West Midlands,E07000198,Staffordshire Moorlands,93390,93468,93977,94555,94927,94997,94980,95342,95888,96295,96604,96781,96987,97209,96936,96958,97235,97102,96932,96947,96591,96366,95955,95975,95899
West Midlands,E07000199,Tamworth,73880,74003,74107,74596,74519,74544,74424,74724,75078,75407,75824,76255,76582,76895,77283,77308,77371,77632,77688,77327,77480,77698,77968,78842,79639
West Midlands,E08000025,Birmingham,991380,989712,985119,984642,990384,996356,1002376,1014650,1020843,1029021,1038980,1050072,1061074,1074283,1084661,1094531,1103724,1114932,1131271,1139893,1146050,1150646,1148692,1143285,1157603
West Midlands,E08000029,Solihull,200736,200190,199013,199574,200028,200536,201153,201557,202351,203170,204778,205470,206329,206856,207729,209115,211205,211697,213061,214330,214901,216323,216432,216677,217678
West Midlands,E08000026,Coventry,305005,304840,303066,302804,301295,300665,298174,298386,300129,301429,305186,307393,311674,316915,318141,322146,325066,331112,337064,340034,342811,343715,344702,344151,355600
West Midlands,E08000027,Dudley,304812,304878,304664,305052,305645,305585,306171,307004,307846,308686,310377,311088,312206,313261,313631,314460,315700,316393,317669,319539,320989,322090,322513,323591,324969
West Midlands,E08000028,Sandwell,287133,286085,285102,284594,285637,287135,288849,290447,292516,294603,298358,302303,306181,309042,312710,317499,321610,325911,330051,333826,336977,340198,341436,341895,344210
